,User,Chat
0,zmfqkr11,쇼메 아겜 탈락확정경기 ㅋㅋ
1,색끈미시,1
2,dheuckxc,누가 더 잘하냐
3,韓國인,#DKWIN
4,lmuchaco,piedi
5,케네넨,한다
6,르꼬르꼬르,1
7,김정수백상현조현수백학준,누가이길라나..
8,오리고양이,1
9,콘선,와
10,uh1223,큰거온다
11,오지고너굴이,와
12,헬로우181818,담원 > 젠지 ㄹㅇㅋㅋ
13,songjun0979,담원 힘들겠지만 이기면좋겠다..
14,장작_루트트루,ㅎㅇ.
15,cks0704,오
16,김평화_,1
17,geneggayo,오
18,초_영,lets go geng
19,khan0411,Geng 이 아니라 gang
20,midkingss,두구두구
21,viewbot_a,캬
22,손놀림봐라,예아
23,발라123,GENGWIN
24,튜카,큰거온다
25,jae0459,두구구구두굳굳ㄱㄷ구ㅜ
26,kappa011757,두구두구
27,stalla12345,ㅎㅇ 마트
28,darksasasa,1
29,대용량콜라,드가자
30,유나요,큰거온다
31,인간형스르스트뢰밍,큰거 안온다
32,파란머리오목눈이,오
33,헤카림스킨내놔,ㄷ ㄷ
34,tmaxla123,작은거온다
35,nobel0617,피글렛 지지하는 슼.갈들은 개추ㅋㅋㅋㅋㅋ
36,toutape,Hey Guys t1 win all thé compétition
37,zqmpxwo,젠지화이팅
38,antimateria455,holaa quien de latam?
39,qoalswp00,큰거 온다
40,반디팬,큰거 온다
41,dalyukim,큰거온다 큰거
42,toobigpoopoo,담갈들 담기는거보러옴
43,whdvlf7130,담원가자
44,anmolyoda12,아ㅅㅅ하고싯ㅂ다
45,skskskskaks,야 밴좁 풀어줘라
46,sjkim1103,젠지이이이이이이
47,따뜻한_아아,담원 화이팅!!
48,abcddks,큰 거 온 다
49,qpskskqp123,포ㅗ
50,Ekfrxhd12,작은건데
51,erwin1174,닥쵸비지
52,지나가던사람이였던사람,젠지ㅣㅣㅣㅣㅣㅣㅣㅣ
53,uchan0127,허수 닉값하는 날일듯
54,simok03,젠지 3:0
55,ggitaek08,아 개떨려
56,whddls1225,쵸오오옹오빙
57,내가언제그랬냐,자 드가자~
